Fe (at%),Ni  (at%),Co (at%),Coercivity (A/m),,,,,,,,,,,,,,,,,,,,,,
48.42,29.59,22,159.16,,,,,,,,,,,,,,,,,,,,,,
47.88,29.73,22.39,159.16,,,,,,,,,,,,,,,,,,,,,,
47.34,29.66,23,159.16,,,,,,,,,,,,,,,,,,,,,,
46.75,29.66,23.58,159.16,,,,,,,,,,,,,,,,,,,,,,
46.21,29.6,24.19,159.16,,,,,,,,,,,,,,,,,,,,,,
45.62,29.6,24.77,159.16,,,,,,,,,,,,,,,,,,,,,,
45.08,29.54,25.39,159.16,,,,,,,,,,,,,,,,,,,,,,
44.5,29.54,25.96,159.16,,,,,,,,,,,,,,,,,,,,,,
43.98,29.41,26.61,159.16,,,,,,,,,,,,,,,,,,,,,,
43.43,29.34,27.22,159.16,,,,,,,,,,,,,,,,,,,,,,
42.92,29.21,27.87,159.16,,,,,,,,,,,,,,,,,,,,,,
42.37,29.14,28.48,159.16,,,,,,,,,,,,,,,,,,,,,,
41.82,29.08,29.1,159.16,,,,,,,,,,,,,,,,,,,,,,
41.31,28.95,29.75,159.16,,,,,,,,,,,,,,,,,,,,,,
40.79,28.81,30.39,159.16,,,,,,,,,,,,,,,,,,,,,,
40.31,28.61,31.07,159.16,,,,,,,,,,,,,,,,,,,,,,
39.83,28.41,31.76,159.16,,,,,,,,,,,,,,,,,,,,,,
39.89,28.41,31.7,159.16,,,,,,,,,,,,,,,,,,,,,,
39.38,28.28,32.35,159.16,,,,,,,,,,,,,,,,,,,,,,
38.86,28.14,32.99,159.16,,,,,,,,,,,,,,,,,,,,,,
38.35,28.01,33.64,159.16,,,,,,,,,,,,,,,,,,,,,,
37.8,27.94,34.25,159.16,,,,,,,,,,,,,,,,,,,,,,
37.22,27.95,34.83,159.16,,,,,,,,,,,,,,,,,,,,,,
36.67,27.88,35.45,159.16,,,,,,,,,,,,,,,,,,,,,,
36.09,27.89,36.02,159.16,,,,,,,,,,,,,,,,,,,,,,
35.48,27.96,36.57,159.16,,,,,,,,,,,,,,,,,,,,,,
34.86,28.03,37.11,159.16,,,,,,,,,,,,,,,,,,,,,,
